Lintang,Bujur,Kelas
-8.16,116.74,1
0.49,122.37,1
1.15,98.93,1
-7.84,128.08,4
-7.38,107.19,2
-11.3,116.31,2
3.87,125.88,2
-0.08,129.83,1
-3.14,130.52,1
-0.03,125.74,1
-0.23,133.24,3
-7.97,106.58,2
-7.75,107.03,1
-2.19,118.56,1
0.33,120.66,3
-1.63,100.68,1
0.72,122.26,1
-4.6,104.05,3
-9.05,111.51,2
-7.5,128.56,2
-2.92,129.88,2
-4.05,130.33,3
-7.41,127.94,4
-0.67,131.45,1
-1.36,120.58,1
-1.3,120.54,2
-9.42,120.22,3
-8.67,119.43,2
-9.11,110.03,4
-3.33,131.17,3
-7.13,106.04,5
-7.26,106.26,3
-7.16,106.09,3
-7.13,106.12,2
-7.07,106.21,1
-7.21,106.08,3
-7.16,106.01,3
-7.11,106.07,2
-7.26,105.98,1
-7.06,105.95,1
-7.2,106.18,1
-7.23,106.01,1
-7.21,106.2,1
-7.13,106.14,2
-7.06,106.14,1
-7.19,105.98,2
-7.2,106.11,4
-7.22,106.12,3
-7.14,106.19,1
-7.17,106.13,1
-7.15,106.08,1
-7.19,106.08,1
-7.23,106.09,3
-7.09,106.17,1
-7.24,106.09,3
0.52,119.54,1
-7.25,106.12,1
-7.27,106.09,2
-8.97,111.16,3
-9.54,117.75,2
-1.88,129.05,1
-7.21,106.12,3
-7.22,106.05,2
-7.13,106.15,1
-7.21,106.08,3
-7.16,106.05,2
-8.22,118.26,1
-7.15,106.15,1
0.44,121.23,1
2.73,125.73,2
-7.14,106.08,1
0.36,122.03,1
-7.24,106.24,1
-8.07,107.47,1
1.85,126.69,1
-8.62,117.14,1
-9.13,118.59,2
-9.38,115.13,1
-7.17,106.15,1
1.43,124.66,1
-8.27,117.73,1
-7.22,106.11,3
-3.2,130.59,5
-7.2,106.16,1
-3.15,130.67,1
-3.17,130.56,1
-3.71,130.16,1
-7.11,106.26,1
-3.16,130.56,1
-3.12,130.55,1
-10.0,123.43,1
-8.95,118.43,1
-3.35,130.54,1
-7.08,105.97,1
-3.11,130.25,1
-7.16,106.1,2
-7.03,106.13,1
-7.21,106.05,2
-0.46,119.89,1
-7.18,106.04,2
-7.25,106.01,1
-4.71,102.73,5
-7.23,105.98,3
0.49,97.94,1
-7.21,105.99,4
2.54,95.46,5
1.61,127.24,3
-7.16,106.01,1
-7.23,106.08,3
-11.27,117.55,2
-0.99,121.24,1
-1.19,127.07,1
-7.13,106.12,1
-7.57,105.52,1
-9.38,107.2,3
3.98,95.07,2
1.77,126.51,3
-4.43,102.17,2
-8.21,123.23,2
-1.27,130.94,1
-6.56,106.55,1
-0.11,125.26,2
-3.33,131.2,3
1.59,121.41,1
-2.01,123.92,4
-8.96,124.25,1
-1.09,128.6,2
-7.09,106.2,1
0.75,100.05,1
-0.42,132.19,2
-2.1,126.18,2
-0.26,123.03,1
-0.2,132.17,1
1.46,122.17,1
-2.8,128.06,2
0.66,121.2,1
-7.11,106.08,1
-0.04,123.16,1
-0.23,122.93,2
-4.2,129.31,2
-3.14,130.58,2
-1.37,120.57,3
-1.19,119.87,2
-1.48,119.96,1
-7.19,106.05,5
0.32,97.99,1
-3.12,130.52,2
-2.9,130.2,1
-7.19,106.04,5
-9.52,110.14,2
-1.13,126.86,5
-4.32,134.17,4
-7.37,106.9,1
-1.07,126.8,1
-7.25,105.9,2
-1.23,126.98,1
-7.28,106.15,1
-3.1,130.51,2
-8.17,118.83,2
-4.75,102.62,2
0.39,124.45,2
-1.17,126.79,2
-8.01,106.96,1
-3.1,130.55,1
-7.13,106.06,2
-6.41,130.54,4
0.64,119.94,2
3.09,97.37,1
-7.63,108.99,2
-0.74,124.34,2
-8.59,118.76,4
-1.28,120.77,2
3.7,96.38,4
-9.95,119.2,3
0.76,122.65,1
-9.91,119.25,3
0.67,97.26,1
0.44,122.01,1
0.59,123.68,1
-7.86,106.16,1
-8.77,123.25,1
-7.01,106.2,1
-1.81,99.68,2
-3.18,119.68,1
-3.2,130.55,2
-3.17,130.53,2
-6.01,105.47,1
-5.6,131.06,4
0.73,121.48,1
-6.66,105.32,4
-9.55,118.8,2
-3.14,130.54,2
-0.16,123.23,1
-9.85,124.52,1
-0.13,123.4,1
-3.09,130.55,2
0.41,122.09,1
0.05,131.86,2
-2.48,121.37,2
-2.78,139.52,5
0.28,121.62,1
3.09,128.85,4
-7.69,112.59,1
-6.54,105.34,3
-7.09,106.1,1
-2.49,121.28,1
-7.15,106.06,1
-4.22,102.45,3
0.54,98.56,3
-8.81,116.03,1
-7.2,106.23,1
-7.94,107.0,2
-8.18,108.35,1
-6.01,130.62,3
-1.53,105.55,2
-6.45,104.59,3
-7.45,128.64,4
-8.23,118.66,3
-6.99,129.9,3
-9.36,114.16,1
0.49,123.63,1
-11.59,122.33,3
0.4,125.25,1
0.61,122.01,1
-5.78,103.65,3
-1.39,120.69,1
-9.46,112.83,1
-7.57,128.17,3
-1.45,99.74,1
-6.91,130.18,4
-0.83,131.25,1
-0.34,100.48,1
1.1,98.76,1
1.54,100.97,2
-1.75,100.43,1
-0.17,122.86,1
2.06,96.5,1
-7.9,118.78,4
-7.9,118.81,5
-7.88,118.74,2
2.34,98.83,1
-8.54,114.0,1
-8.27,119.49,2
0.4,125.27,2
-9.59,116.35,2
-1.89,100.7,3
-9.33,113.89,2
-3.17,130.55,1
-8.2,117.64,3
-1.03,121.2,1
-4.64,125.43,3
-4.61,125.38,3
0.19,97.59,1
-0.31,125.35,3
-1.29,120.49,2
-3.22,130.52,1
-7.8,106.46,3
3.39,126.01,2
-0.19,124.61,1
-8.29,116.73,3
-6.53,128.63,4
-0.16,125.2,5
-0.24,125.21,2
0.86,126.36,2
-5.25,133.96,5
-7.95,115.84,4
-8.99,123.38,2
-6.27,130.44,4
0.08,124.4,1
-0.84,131.06,1
-9.62,117.38,2
0.99,126.12,2
-2.28,125.92,1
-8.09,106.03,1
-7.63,128.44,3
-2.66,127.2,1
-8.36,115.97,1
1.04,118.86,1
-0.43,122.97,1
-1.22,126.97,2
5.32,96.18,2
-1.58,130.73,1
-10.26,117.51,2
-9.35,114.01,1
-0.65,131.16,1
-1.31,120.54,2
-7.6,128.71,4
-2.71,127.82,1
-11.34,117.59,2
-7.07,106.46,1
0.33,120.65,1
-7.59,121.21,2
-3.14,99.33,2
-6.92,129.63,4
-6.17,119.67,4
-2.71,128.92,2
-9.31,112.86,1
-0.51,124.49,2
1.22,126.13,2
-7.69,127.78,4
-6.37,130.49,4
2.13,96.38,2
-0.05,99.26,1
0.58,121.75,1
-0.8,131.04,1
1.02,126.34,1
-9.26,124.8,1
-7.19,106.19,1
-7.26,105.95,4
1.23,98.97,3
1.08,97.55,1
-1.27,99.68,4
-0.75,131.26,1
-0.24,122.54,1
-1.77,130.49,1
-7.87,107.36,1
-8.47,117.31,1
-7.71,127.69,3
1.86,122.35,1
-6.29,103.59,2
-7.81,120.49,1
-4.19,133.65,3
-2.01,126.77,2
-8.3,123.1,2
-8.87,112.58,1
0.82,122.74,1
-7.99,108.61,1
-0.95,130.62,1
