Lintang,Bujur,Kedalaman(KM),Timestamp,Kelas
-8.44,116.55,12,1532812862.0,1
1.12,121.76,10,1519798466.0,1
-0.34,122.96,14,1532914599.0,1
-7.25,106.01,19,1516724965.0,1
-8.52,116.39,12,1532799974.0,1
-6.46,104.94,15,1532158133.0,1
-8.68,122.25,31,1532311517.0,1
-8.81,111.02,10,1519229581.0,1
-8.45,116.55,10,1533053577.0,1
0.49,97.94,35,1516745670.0,1
0.21,121.75,183,1519400299.0,1
-8.98,114.1,40,1527052775.0,1
-8.29,115.5,11,1514881989.0,1
-8.16,117.94,10,1530940503.0,1
-3.35,140.15,10,1529318465.0,1
-8.98,111.3,13,1530357296.0,1
-2.97,119.61,10,1517854845.0,1
-8.38,116.66,10,1533063779.0,1
-3.78,101.69,29,1518968116.0,1
-8.5,117.22,158,1527750162.0,1
-5.98,105.45,10,1518859215.0,1
-9.05,119.03,35,1518570219.0,1
1.47,120.97,19,1519821860.0,1
0.76,122.65,16,1517071189.0,1
-8.95,117.22,124,1518455878.0,1
-0.95,130.62,14,1517722762.0,1
-10.11,118.66,10,1530443936.0,1
-8.5,108.66,62,1518371090.0,1
0.95,121.39,10,1517815391.0,1
-0.06,97.36,10,1518247116.0,1
2.05,99.01,10,1519738932.0,1
-6.1,119.66,78,1530388633.0,1
-7.16,106.92,10,1525436145.0,1
-5.36,119.77,29,1518795190.0,1
-8.76,124.09,10,1528174128.0,1
-10.38,119.63,48,1519783830.0,1
-1.35,120.4,10,1515328966.0,1
-8.69,118.35,113,1515374741.0,1
1.74,98.07,10,1525416624.0,1
-8.78,116.39,15,1533073775.0,1
-0.71,127.54,10,1533269946.0,1
-9.46,117.9,24,1519231558.0,1
-2.71,127.82,10,1517593238.0,1
-8.11,119.28,20,1519833472.0,1
-0.53,121.85,10,1518430776.0,1
-2.32,121.48,10,1518081330.0,1
-6.56,106.55,10,1516850180.0,1
-7.76,107.05,49,1529198556.0,1
-8.78,110.4,28,1525919292.0,1
-1.29,130.86,20,1519147193.0,1
-0.11,123.18,134,1525360620.0,2
-9.51,124.12,72,1518284298.0,2
-0.57,131.26,10,1517979463.0,2
3.17,98.32,10,1518980044.0,2
-3.14,130.58,10,1516911152.0,2
1.34,126.63,10,1532206852.0,2
-3.32,128.57,10,1518750033.0,2
-2.8,128.06,16,1516883027.0,2
-0.04,98.6,36,1525879086.0,2
-8.33,119.69,182,1527369067.0,2
-0.46,124.06,13,1518893955.0,2
-8.44,116.45,12,1532878446.0,2
4.56,124.51,459,1526647201.0,2
-4.8,102.91,190,1518614450.0,2
-2.76,126.71,14,1519628150.0,2
-0.06,121.83,174,1519595841.0,2
0.99,126.12,12,1517554761.0,2
-0.26,126.7,10,1526189525.0,2
-7.81,122.2,301,1515475906.0,2
-1.17,126.86,10,1517850526.0,2
-7.57,128.37,114,1518168077.0,2
-3.65,101.3,10,1516252579.0,2
-9.73,122.54,94,1516100489.0,2
4.95,95.94,10,1519218793.0,2
1.61,127.37,88,1529350368.0,2
1.07,99.51,10,1530141196.0,2
-2.32,101.21,74,1518387364.0,2
-8.36,118.62,199,1519029150.0,2
-0.68,100.17,85,1519572730.0,2
-9.01,115.67,82,1519084779.0,2
-8.14,120.06,177,1518018888.0,2
-4.01,118.93,25,1517869341.0,2
-9.22,119.71,11,1519045401.0,2
-4.01,118.93,25,1517869341.0,2
-8.37,116.55,10,1532825650.0,2
-8.34,116.47,10,1532886167.0,2
-0.77,98.55,12,1518059487.0,2
1.77,122.34,10,1518694516.0,2
-0.1,125.27,10,1530811477.0,2
-9.81,119.46,32,1516251908.0,2
2.52,128.39,226,1530050495.0,2
-0.11,125.26,18,1516857464.0,2
3.39,126.01,51,1517486784.0,2
0.92,122.72,15,1526828054.0,2
-7.99,123.7,186,1519003860.0,2
-7.72,106.32,64,1518749692.0,2
-5.89,104.08,10,1532205163.0,2
-0.57,131.26,10,1517979463.0,2
0.51,126.61,24,1533213954.0,2
1.22,126.13,12,1517628005.0,2
-1.22,126.97,10,1517566039.0,2
-1.17,126.79,10,1516968337.0,2
-9.13,112.73,10,1519552100.0,2
2.55,98.98,151,1515785996.0,2
-8.19,118.5,192,1531172232.0,2
-8.81,116.29,10,1532873417.0,2
5.36,95.74,10,1525949186.0,2
-8.77,111.81,43,1518169651.0,2
-0.23,125.63,10,1517921914.0,2
-9.07,112.91,11,1531981236.0,2
-8.63,123.36,122,1518099126.0,2
-8.36,111.43,105,1518953848.0,2
-7.22,107.15,118,1530204150.0,2
-4.56,105.1,30,1529915807.0,2
4.13,95.54,18,1518850073.0,2
5.32,96.18,10,1517568178.0,2
0.28,98.68,11,1530659683.0,2
-8.77,111.81,43,1518169651.0,2
-0.39,128.18,168,1532916857.0,2
0.9,126.55,10,1516389513.0,2
-9.13,119.21,18,1519447730.0,2
-5.05,102.88,19,1532605437.0,2
-3.98,130.08,27,1517777996.0,2
-9.99,119.27,18,1518682822.0,2
-2.01,126.77,10,1517704646.0,2
-3.53,127.38,29,1518398472.0,2
-9.3,111.99,19,1527162032.0,2
-9.72,119.44,40,1525497169.0,2
-4.99,101.97,11,1529949808.0,2
-7.57,128.37,114,1518168077.0,2
-7.7,105.9,10,1529637504.0,2
-0.12,123.77,115,1519046809.0,2
-8.36,111.43,105,1518953848.0,2
3.07,126.44,31,1515495510.0,2
-8.09,117.9,12,1526940845.0,2
-1.32,120.31,10,1519355335.0,2
-3.33,128.56,10,1518740936.0,2
-10.18,105.17,10,1518595556.0,2
-4.1,103.1,10,1518772439.0,2
-3.09,130.55,10,1517209269.0,2
-8.89,111.48,29,1518864896.0,2
-5.41,103.35,34,1519375664.0,2
-9.15,124.25,78,1526907660.0,2
-1.29,120.49,10,1517479262.0,2
-8.7,113.38,85,1528746482.0,2
-8.92,108.3,24,1530364952.0,2
-2.89,127.33,70,1518157249.0,2
