Lintang,Bujur,Kedalaman(KM),Timestamp,Kelas
-0.04,123.25,144,1516012199.0,1
-3.26,104.14,338,1516013558.0,4
0.25,97.36,37,1516014889.0,1
0.22,125.94,35,1516015409.0,1
-0.35,123.15,10,1516016553.0,1
0.68,121.59,72,1516018078.0,1
-0.89,130.89,10,1516018390.0,1
-1.25,98.88,27,1516019483.0,1
-7.41,107.72,10,1516020039.0,1
-6.0,106.3,14,1516021422.0,1
0.28,121.51,127,1516026558.0,1
-9.33,124.29,19,1516028252.0,1
-7.86,105.93,10,1516031891.0,1
-0.27,121.98,13,1516033865.0,1
-2.75,127.83,29,1516038294.0,1
-3.47,126.7,38,1516050325.0,3
-9.41,107.32,10,1516087732.0,2
-1.29,120.66,10,1516090660.0,1
-9.21,119.06,73,1516090807.0,2
0.25,129.57,10,1516092025.0,2
2.38,98.96,141,1516092784.0,2
-9.73,122.54,94,1516100489.0,2
-9.75,124.44,43,1516103574.0,2
-7.66,106.72,27,1516106624.0,1
0.06,125.85,10,1516109647.0,2
4.43,96.53,10,1516112295.0,2
-9.65,122.99,91,1516115761.0,2
-8.98,117.86,16,1516118703.0,1
-9.3,117.48,47,1516127948.0,1
-8.92,124.02,20,1516128448.0,1
-8.77,120.45,130,1516128664.0,2
-8.27,115.46,10,1516131257.0,1
-2.18,119.03,11,1516132065.0,4
-3.17,127.21,52,1516132118.0,3
-0.45,119.82,10,1516137950.0,3
-8.72,119.2,137,1516152093.0,3
1.2,121.41,10,1516153447.0,2
-10.26,124.72,21,1516157787.0,1
5.0,94.3,47,1516170328.0,4
-7.19,129.54,177,1516174524.0,4
-9.06,124.37,10,1516177902.0,1
1.96,98.92,59,1516179562.0,1
-5.66,105.24,10,1516179805.0,2
-3.17,129.53,10,1516181716.0,2
-3.86,127.67,10,1516183935.0,1
-4.41,138.42,162,1516187982.0,4
-0.82,120.33,10,1516203157.0,2
-0.96,122.82,129,1516203734.0,1
0.58,98.19,17,1516207331.0,2
-7.01,127.07,400,1516212062.0,4
2.16,121.0,13,1516214463.0,3
-8.66,118.36,101,1516217668.0,1
-8.18,119.98,174,1516217941.0,2
-0.12,122.95,77,1516240302.0,1
-6.32,130.28,163,1516246845.0,4
-0.23,122.47,11,1516249165.0,1
-9.81,119.46,32,1516251908.0,2
4.0,126.73,59,1516252270.0,4
-6.35,101.93,10,1516252377.0,3
-3.65,101.3,10,1516252579.0,2
-7.94,117.59,22,1516253646.0,1
-3.88,131.75,101,1516260653.0,2
0.76,126.49,43,1516260716.0,3
-5.29,120.9,23,1516261418.0,1
1.68,123.02,26,1516263787.0,1
-0.08,97.9,37,1516269886.0,1
0.43,124.43,10,1516271173.0,1
-6.41,132.72,62,1516272520.0,5
-9.32,110.48,10,1516273407.0,1
-7.29,106.6,170,1516277280.0,1
-2.26,131.69,10,1516283129.0,1
-8.51,108.82,53,1516287246.0,1
0.29,122.12,27,1516293695.0,1
-0.1,121.59,18,1516297700.0,1
1.59,126.32,10,1516298631.0,4
0.15,124.04,105,1516305887.0,1
0.88,122.54,15,1516309948.0,1
-0.57,131.27,10,1516310934.0,1
0.86,121.81,160,1516311323.0,1
0.11,121.8,133,1516329364.0,1
-7.71,106.84,19,1516341227.0,1
-11.08,118.52,10,1516346004.0,2
-0.8,124.07,10,1516346255.0,1
-2.46,131.87,140,1516346741.0,1
-0.53,119.71,10,1516353146.0,1
