Lintang,Bujur,Kedalaman(KM),Magnitudo(SR),Timestamp
-0.98,131.06,11,2.9,1515683844.0
0.01,126.98,103,3.6,1515684349.0
-0.04,122.98,146,2.3,1515685747.0
1.84,126.46,10,4.3,1515696547.0
1.76,98.27,15,3.4,1515698298.0
-9.38,114.14,10,3.5,1515706937.0
-0.24,99.45,10,3.3,1515710279.0
-5.51,129.31,274,4.5,1515712394.0
1.05,124.08,10,3.0,1515715776.0
-0.11,123.11,98,2.9,1515716629.0
0.5,98.1,21,4.2,1515718235.0
-3.34,131.22,32,4.3,1515727498.0
-8.48,123.82,10,2.9,1515737368.0
-3.49,134.4,49,3.9,1515740279.0
0.97,121.99,29,2.6,1515741056.0
-3.59,127.82,12,3.1,1515746727.0
-0.11,122.84,140,3.3,1515749092.0
2.69,128.47,236,4.1,1515750646.0
-10.13,122.88,65,4.7,1515768544.0
-6.61,129.46,25,4.7,1515777094.0
-8.62,116.28,57,3.2,1515780662.0
0.78,121.26,10,3.3,1515782592.0
2.55,98.98,151,3.7,1515785996.0
-0.61,131.45,13,2.8,1515787701.0
-0.48,124.11,10,3.2,1515788003.0
-9.91,121.74,53,3.4,1515789249.0
-0.48,125.15,10,3.3,1515791773.0
-1.81,129.94,10,3.3,1515796245.0
-2.56,126.86,10,4.4,1515796691.0
0.07,123.41,13,2.7,1515797537.0
-7.84,128.67,10,4.5,1515797591.0
-0.44,125.29,10,3.7,1515797961.0
-3.66,101.67,10,3.6,1515799056.0
-5.06,102.96,69,4.9,1515802286.0
1.86,98.57,10,3.3,1515811112.0
-7.73,123.97,227,2.8,1515820145.0
-1.29,120.48,10,3.0,1515821335.0
-8.32,109.03,29,3.4,1515823312.0
-9.09,111.88,60,3.5,1515824495.0
5.33,94.38,93,4.5,1515826977.0
-0.28,122.95,20,3.1,1515827757.0
-7.85,107.3,27,3.7,1515833817.0
3.6,126.81,14,3.9,1515847379.0
0.09,132.35,10,3.1,1515855539.0
-8.35,119.58,10,3.2,1515856626.0
-0.32,126.91,23,2.7,1515857088.0
-0.67,127.92,58,2.9,1515857284.0
0.36,122.03,24,1.9,1515865760.0
-0.43,119.28,44,2.8,1515866047.0
-9.68,115.97,18,3.2,1515868377.0
-8.6,124.83,10,2.6,1515870894.0
-4.17,123.36,60,4.0,1515875857.0
-6.21,130.61,172,3.7,1515875964.0
-0.13,123.02,96,2.1,1515876078.0
0.46,122.46,11,2.2,1515877907.0
-9.43,117.74,26,3.1,1515879768.0
-9.38,117.78,25,2.4,1515879894.0
-3.72,101.52,45,4.4,1515880438.0
-0.08,123.02,139,2.3,1515886713.0
-0.31,122.84,55,2.4,1515890869.0
1.48,126.59,10,3.5,1515892128.0
-10.47,118.62,103,4.3,1515901855.0
-0.6,123.98,13,3.6,1515903500.0
-7.18,129.71,162,4.4,1515909006.0
-0.05,123.36,116,2.3,1515910815.0
-8.17,108.1,26,3.0,1515911672.0
-8.82,123.96,94,3.3,1515923982.0
-6.44,103.24,64,4.3,1515931915.0
-0.56,122.95,49,2.3,1515935128.0
0.65,122.21,84,1.8,1515935830.0
1.6,126.0,82,4.7,1515941087.0
-8.48,111.51,11,3.2,1515942416.0
